solver,dt,num_f_evals,num_steps,final_t,x_numeric,x_analytic,abs_dx,rel_dx,E_numeric,E_analytic,abs_dE,rel_dE,rms_dx,rms_dE
Euler,0.1,180,180,17.999999999999986,1.5043869286894327,0.6603167082440695,0.8440702204453632,1.2782808762933404,2.9979009876780847,0.5,2.4979009876780847,4.995801975356169,0.5018818295091587,1.145392805051083
Euler,0.05,360,360,18.00000000000012,1.0172555484237975,0.6603167082441709,0.3569388401796266,0.5405570322894788,1.2284211057478651,0.5,0.7284211057478651,1.4568422114957302,0.20889310678762893,0.37509804631706684
Euler,0.01,1800,1800,18.000000000000014,0.7220051854621884,0.6603167082440908,0.06168847721809756,0.09342255988363385,0.598603294466149,0.5,0.09860329446614902,0.19720658893229803,0.03637766708653534,0.055673744833389126
EulerCromer,0.1,360,180,17.999999999999986,0.703283913901216,0.6603167082440695,0.04296720565714651,0.06507060191071942,0.5262656298376951,0.5,0.026265629837695093,0.052531259675390185,0.038749123782839436,0.017765013856045203
EulerCromer,0.05,720,360,18.00000000000012,0.6804735905775229,0.6603167082441709,0.020156882333352,0.030526082532351156,0.5127585717467595,0.5,0.01275857174675954,0.02551714349351908,0.018635688835246984,0.008840134067683258
EulerCromer,0.01,3600,1800,18.000000000000014,0.6641277666002401,0.6603167082440908,0.003811058356149255,0.005771561295614634,0.5024936241258524,0.5,0.0024936241258524117,0.004987248251704823,0.003612186915960371,0.0017649197251807566
EulerRichardson,0.1,360,180,17.999999999999986,0.684017102656883,0.6603167082440695,0.023700394412813464,0.03589246511092857,0.5022550418509255,0.5,0.00225504185092551,0.00451008370185102,0.01280600361037064,0.0013066432957622707
EulerRichardson,0.05,720,360,18.00000000000012,0.6661136063522471,0.6603167082441709,0.005796898108076265,0.008778966268308777,0.5002813288965459,0.5,2.813288965458627E-4,5.626577930917254E-4,0.003193084709493558,1.6275226447504335E-4
EulerRichardson,0.01,3600,1800,18.000000000000014,0.6605434541642364,0.6603167082440908,2.2674592014559902E-4,3.433896451727839E-4,0.5000022500050623,0.5,2.250005062265359E-6,4.500010124530718E-6,1.2751256985170587E-4,1.2995815528497676E-6
Ralston2,0.1,360,180,17.99999999999999,0.6840171026568819,0.6603167082440722,0.02370039441280969,0.03589246511092271,0.5022550418509242,0.5,0.0022550418509241776,0.004510083701848355,0.012806003610369243,0.0013066432957612134
Ralston2,0.05,720,360,18.00000000000012,0.6661136063522479,0.6603167082441709,0.005796898108077042,0.008778966268309955,0.5002813288965468,0.5,2.8132889654675086E-4,5.626577930935017E-4,0.0031930847094930664,1.6275226447547906E-4
Ralston2,0.01,3600,1800,18.000000000000014,0.6605434541642369,0.6603167082440908,2.267459201460431E-4,3.433896451734564E-4,0.5000022500050622,0.5,2.2500050621543366E-6,4.500010124308673E-6,1.275125698518418E-4,1.2995815528688402E-6
Heun3,0.1,540,180,17.999999999999986,0.6598682748748371,0.6603167082440695,4.4843336923239274E-4,6.791186163150071E-4,0.4992530553783263,0.5,7.469446216736841E-4,0.0014938892433473683,2.943828347406422E-4,4.331253873632562E-4
Heun3,0.05,1080,360,18.00000000000012,0.6602576731171765,0.6603167082441709,5.9035126994344544E-5,8.940426049694116E-5,0.4999063368745028,0.5,9.36631254971898E-5,1.873262509943796E-4,3.672795720181892E-5,5.419034065666082E-5
Heun3,0.01,5400,1800,18.000000000000014,0.6603162175291081,0.6603167082440908,4.907149827593216E-7,7.4315094049979E-7,0.49999925002556145,0.5,7.499744385519591E-7,1.4999488771039182E-6,2.9331709661757896E-7,4.331784368833395E-7
RK4,0.1,720,180,17.99999999999999,0.6603046592173183,0.6603167082440722,1.2049026753890857E-5,1.8247344953502506E-5,0.49999875156405027,0.5,1.248435949730009E-6,2.496871899460018E-6,6.397080659206593E-6,7.237876336534907E-7
RK4,0.05,1440,360,18.00000000000012,0.6603159790362284,0.6603167082441709,7.292079424736642E-7,1.1043305937429329E-6,0.49999996094970767,0.5,3.90502923330871E-8,7.81005846661742E-8,3.990815158550288E-7,2.259266195902651E-8
RK4,0.01,7200,1800,18.000000000000014,0.6603167071093846,0.6603167082440908,1.1347062178757028E-9,1.7184272390942597E-9,0.49999999998750055,0.5,1.2499445922742325E-11,2.499889184548465E-11,6.37460521014715E-10,7.219357955682995E-12
Verlet,0.1,360,180,17.999999999999986,0.6659367923212609,0.6603167082440695,0.00562008407719139,0.008511194714633916,0.4993043397642086,0.5,6.956602357913733E-4,0.0013913204715827465,0.0032035288665661884,7.806177862495694E-4
